code,transliterations,type
A248B,,Determinative
A249,qnj|qn,Phonetic
A249A,,Determinative
A25,Hwi|Hw,Phonetic
A250,wrrt,Ideogram
A251,wnty,Ideogram
A252,,Determinative
A253,,Determinative
A254,sA-ra,Ideogram
A254A,mHt-wrt,Ideogram
A255,,Determinative
A256,nnib,Ideogram
A257,xsbd,Ideogram
A258,,Determinative
A259,,Determinative
A25A,,Determinative
A26,aS|i|nis,Phonetic
A260,,Determinative
A261,,Determinative
A262,msdmt,Ideogram
A263,xnw,Ideogram
A264,xft-Hr,Ideogram
A265,,Determinative
A266,,Determinative
A267,ab,Phonetic
A268,,Determinative
A269,,Determinative
A27,in|ii,Phonetic
A270,,Determinative
A271,,Determinative
A272,sA-ra,Ideogram
A272A,,Determinative
A273,,Determinative
A274,imty,Ideogram
A274A,,Determinative
A275,,Determinative
A276,,Determinative
A278,,Determinative
A278A,,Determinative
A278B,,Determinative
A279,xa,Phonetic
A27A,,Determinative
A28,Hai|HAi|iAs|qAi|qA|Ha,Phonetic
A280,,Determinative
A281,,Determinative
A282,nm,Phonetic
A283,,Determinative
A284,,Determinative
A285,,Determinative
A285A,,Determinative
A286,,Determinative
A287,,Determinative
A287A,,Determinative
A288,,Determinative
A289,,Determinative
A29,sxr,Ideogram
A290,,Determinative
A291,sxm,Ideogram
A292,Hm,Phonetic
A293,,Determinative
A294,,Determinative
A295,,Determinative
A296,,Determinative
A296A,,Determinative
A296B,,Determinative
A296C,,Determinative
A296D,,Determinative
A296E,,Determinative
A296F,,Determinative
A296G,,Determinative
A298,,Determinative
A299,,Determinative
A299A,,Determinative
A299B,,Determinative
A299C,,Determinative
A299D,,Determinative
A299E,,Determinative
A2A,,Determinative
A3,Hms|Hmsi,Ideogram
A30,dwA|iAw|tr|twA,Phonetic
A300,,Determinative
A300A,,Determinative
A300B,,Determinative
A300C,,Determinative
A300D,,Determinative
A300E,,Determinative
A301,,Determinative
A301A,,Determinative
A302,,Determinative
A302A,,Determinative
A302B,,Determinative
A302C,,Determinative
A302D,,Determinative
A303,,Determinative
A304,,Determinative
A304A,,Determinative
A304B,,Determinative
A304C,nsw-bity|nswt-bity,Ideogram
A304D,,Determinative
A304E,,Determinative
A304F,,Determinative
A304G,tm,Phonetic
A305,,Determinative
A305A,,Determinative
A305B,,Determinative
A305C,,Determinative
A306,,Determinative
A307,,Determinative
A308,,Determinative
A308A,,Determinative
A309,,Determinative
A31,anw|an,Phonetic
A310,,Determinative
A310A,,Determinative
A310B,,Determinative
A310C,,Determinative
A310D,,Determinative
A311,ity,Ideogram
A311A,,Determinative
A311B,,Determinative
A311C,,Determinative
A311D,,Determinative
A311E,,Determinative
A311F,,Determinative
A313,Hs,Phonetic
A313A,,Determinative
A314,,Determinative
A314A,,Determinative
A316,,Determinative
A317,,Determinative
A318,,Determinative
A319,,Determinative
A31A,an,Phonetic
A31B,,Determinative
A31C,,Determinative
A32,hy-hnw|xbi|xb,Phonetic
A320,,Determinative
A321,,Determinative
A322,,Determinative
A323,,Determinative
A324,,Determinative
A324A,,Determinative
A326,,Determinative
A327,,Determinative
A32A,,Determinative
A32B,,Determinative
A32C,,Determinative
A32D,,Determinative
A32E,,Determinative
A32F,,Determinative
A32G,,Determinative
A32h,,Determinative
A33,mniw|SmAw,Ideogram
A330,,Determinative
A332,,Determinative
A333,mnw,Ideogram
A334,,Determinative
A335,,Determinative
A336,mnw,Ideogram
A337,,Determinative
A338,,Determinative
A339,,Determinative
A33A,,Determinative
A33B,,Determinative
A33C,,Determinative
A33D,,Determinative
A33E,,Determinative
A34,xwsi|xws,Ideogram
A340,psS|pSS,Ideogram
A341,,Determinative
A342,xsbd,Ideogram
A343,,Determinative
A344,,Determinative
A345,,Determinative
A346,,Determinative
A347,,Determinative
A348,,Determinative
A348A,,Determinative
A349,,Determinative
A34A,,Determinative
A34B,,Determinative
A35,qd,Phonetic
A350,,Determinative
A351,Xn,Phonetic
A352,,Determinative
A353,,Determinative
A354,,Determinative
A355,Htp-di-nsw,Ideogram
A356,,Determinative
A357,,Determinative
A358,,Determinative
A359,ink,Ideogram
A35A,,Determinative
A35B,,Determinative
A35C,qd,Phonetic
A35D,,Determinative
A35E,qd,Phonetic
A35F,qd,Phonetic
A36,afti|afty,Ideogram
A360,,Determinative
A361,an,Phonetic
A362,,Determinative
A363,,Determinative
A364,,Determinative
A365,,Determinative
A366,,Determinative
A367,,Determinative
A368,,Determinative
A369,,Determinative
A36A,afty,Ideogram
A36B,afty,Ideogram
A36C,afty,Ideogram
A37,afti|afty,Ideogram
A370,,Determinative
A371,,Determinative
A372,,Determinative
A374,,Determinative
A375,mH,Phonetic
A376,wdpw,Ideogram
A376A,,Determinative
A377,,Determinative
A378,sAw,Ideogram
A379,,Determinative
A38,qis|qiz,Ideogram
A380,,Determinative
A381,,Determinative
A382,,Determinative
A383,,Determinative
A384,,Determinative
A385,,Determinative
A386,,Determinative
A387,,Determinative
A388,,Determinative
A389,,Determinative
A39,qis|qiz,Ideogram
A390,,Determinative
A391,,Determinative
A392,,Determinative
A393,,Determinative
A394,,Determinative
A395,,Determinative
A396,,Determinative
A397,,Determinative
A398,,Determinative
A399,,Determinative
A3A,,Determinative
A3B,,Determinative
A4,dwA|imn,Ideogram
A40,nTr,Ideogram
A400,,Determinative
A401,,Determinative
A402,rn-f,Ideogram
A403,,Determinative
A404,,Determinative
A405,,Determinative
A406,,Determinative
A407,,Determinative
A408,,Determinative
A409,,Determinative
A40A,,Determinative
A40B,,Determinative
A40C,,Determinative
A40D,,Determinative
A40E,,Determinative
A40F,,Determinative
A40G,,Determinative
A40I,,Determinative
A40h,,Determinative
A41,Hm|nsw,Phonetic
A410,,Determinative
A411,,Determinative
A412,,Determinative
A412A,,Determinative
A413,,Determinative
A414,,Determinative
A415,,Determinative
A416,,Determinative
A417,,Determinative
A418,,Determinative
A419,,Determinative
A42,Hm|nsw,Phonetic
A420,,Determinative
A421,,Determinative
A422,,Determinative
A423,,Determinative
A424,,Determinative
A425,,Determinative
A426,,Determinative
A426A,,Determinative
A426B,,Determinative
A427,,Determinative
A428,,Determinative
A429,,Determinative
A42A,Hm|nsw,Phonetic
A42B,Hm|nsw,Phonetic
A42C,,Determinative
A43,nsw|wsir,Ideogram
A430,,Determinative
A431,,Determinative
A432,Ss,Phonetic
A433,,Determinative
A434,,Determinative
A435,,Determinative
A436,,Determinative
A437,,Determinative
A438,,Determinative
A439,,Determinative
A43A,nsw|wsir,Ideogram
A43B,,Determinative
A43C,,Determinative
A43D,,Determinative
A43E,,Determinative
A43F,,Determinative
A43G,,Determinative
A43I,,Determinative
A43J,,Determinative
A43K,,Determinative
A43L,,Determinative
A43M,,Determinative
A43h,,Determinative
A44,nsw|wsir,Ideogram
A440,,Determinative
A441,,Determinative
A442,,Determinative
A443,,Determinative
A444,,Determinative
A445,,Determinative
A446,,Determinative
A447,,Determinative
A448,,Determinative
A449,,Determinative
A45,bity,Ideogram
A450,,Determinative
A451,,Determinative
A452,,Determinative
A453,,Determinative
A454,,Determinative
A455,,Determinative
A456,,Determinative
A457,,Determinative
A458,,Determinative
A459,,Determinative
A45A,,Determinative
A45B,n|itm,Phonetic
A45C,,Determinative
A45D,,Determinative
A45E,,Determinative
A46,bity,Ideogram
A460,,Determinative
A461,,Determinative
A461A,,Determinative
A462,,Determinative
A463,,Determinative
A463A,,Determinative
A464,,Determinative
A465,,Determinative
A465A,,Determinative
A465B,,Determinative
A465C,,Determinative
A466,,Determinative
A466A,,Determinative
A467,,Determinative
A468,,Determinative
A468A,,Determinative
A469,,Determinative
A47,iry|mniw|sAw,Ideogram
A470,,Determinative
A471,,Determinative
A472,,Determinative
A473,,Determinative
A474,,Determinative
A475,,Determinative
A476,ws,Phonetic
A477,,Determinative
A478,,Determinative
A479,,Determinative
A47A,,Determinative
A47B,,Determinative
A47C,,Determinative
A47D,,Determinative
A47E,,Determinative
A48,iry|mniw|sAw,Ideogram
A480,,Determinative
A481,,Determinative
A482,,Determinative
A483,,Determinative
A484,,Determinative
A485,,Determinative
A486,,Determinative
A487,,Determinative
A488,,Determinative
A489,,Determinative
A48A,iry,Ideogram
A48B,,Determinative
A49,aAmw,Ideogram
A490,,Determinative
A491,,Determinative
A492,,Determinative
A493,,Determinative
A494,,Determinative
A495,,Determinative
A496,,Determinative
A497,,Determinative
A498,,Determinative
A499,,Determinative
A49A,,Determinative
A4A,,Determinative
A4B,,Determinative
A4C,,Determinative
A4D,,Determinative
A5,imn,Ideogram
A50,Sps|Spsi,Ideogram
A500,,Determinative
A501,,Determinative
A502,,Determinative
A504,,Determinative
A505,,Determinative
A506,,Determinative
A507,,Determinative
A508,,Determinative
A509,,Determinative
A50A,,Determinative
A50B,,Determinative
A50C,,Determinative
A50D,,Determinative
A50E,,Determinative
A50F,,Determinative
A50G,,Determinative
A51,Sps|Spsi,Ideogram
A510,,Determinative
A511,,Determinative
A51A,,Determinative
A51B,,Determinative
A51C,,Determinative
A51D,,Determinative
A51E,,Determinative
A51F,,Determinative
A51G,,Determinative
A52,saH|Sps|Spsi,Ideogram
A52A,,Determinative
A52B,,Determinative
A52C,,Determinative
A52D,,Determinative
A52E,,Determinative
A52F,,Determinative
A52G,,Determinative
A52I,,Determinative
A52J,,Determinative
A52h,,Determinative
A53,qi|twt|wi,Phonetic
A53A,,Determinative
A54,mni|nb-anx,Ideogram
A55,sDr|XAt,Ideogram
A55A,sDr|XAt,Ideogram
A56,,Determinative
A57,,Determinative
A57A,,Determinative
A57B,,Determinative
A57C,,Determinative
A57D,,Determinative
A58,bA,Phonetic
A58A,,Determinative
A58B,,Determinative
A59,sHr,Ideogram
A59A,sHr,Ideogram
A5A,,Determinative
A5B,,Determinative
A6,wab,Ideogram
A60,sti,Ideogram
A600,wh,Phonetic
A601,Hwty,Ideogram
A602,,Determinative
A603,,Determinative
A604,,Determinative
A605,wnS,Ideogram
A606,,Determinative
A607,,Determinative
A60A,,Determinative
A61,an|msnH,Phonetic
A62,wr,Phonetic
A62A,,Determinative
A63,,Determinative
A63A,,Determinative
A63B,,Determinative
A66,,Determinative
A67,,Determinative
A68,,Determinative
A69,,Determinative
A6A,,Determinative
A6B,,Determinative
A6C,,Determinative
A6D,,Determinative
A6E,,Determinative
A6F,,Determinative
A6G,,Determinative
A6I,,Determinative
A6J,,Determinative
A6K,,Determinative
A6L,,Determinative
A6h,,Determinative
A7,wrd|nn|Hms,Phonetic
A71,,Determinative
A72,,Determinative
A72A,,Determinative
A73,HH,Phonetic
A73A,,Determinative
A73B,,Determinative
A74,,Determinative
A75,,Determinative
A76,,Determinative
A76A,,Determinative
A76B,,Determinative
A76C,,Determinative
A76D,,Determinative
A77,,Determinative
A78,,Determinative
A7A,,Determinative
A8,hnw,Ideogram
A80,snsn|Htr,Ideogram
A80A,,Determinative
A80B,,Determinative
A81,,Determinative
A81A,,Determinative
A81B,,Determinative
A82,,Determinative
A83,,Determinative
A84,,Determinative
A85,,Determinative
A86,,Determinative
A87,,Determinative
A87A,,Determinative
A88,,Determinative
A89,,Determinative
A8A,,Determinative
A9,ATp|Atp|fAi|fA|kAt|f,Phonetic
A90,,Determinative
A90A,,Determinative
A90B,,Determinative
A90C,,Determinative
A90D,,Determinative
A91,,Determinative
A92,sn-tA,Ideogram
A93,,Determinative
A94,,Determinative
A95,,Determinative
A96,,Determinative
A96A,,Determinative
A97,,Determinative
A98,,Determinative
A99,,Determinative
A9A,,Determinative
A9B,,Determinative
A9C,,Determinative
AA,,Determinative
Aa1,x,Phonetic
Aa10,drf,Ideogram
Aa11,mAa,Ideogram
Aa11v,,Determinative
Aa12,mAa,Ideogram
Aa13,gs|im|m,Phonetic
Aa13VARA,im,Phonetic
Aa14,gs|im|m,Phonetic
Aa15,gs|im|m,Phonetic
Aa16,gs,Phonetic
Aa17,sA|zA,Phonetic
Aa18,sA|zA,Phonetic
Aa18A,,Determinative
Aa19,Hr,Phonetic
Aa1B,,Determinative
Aa2,gA|Hsb|wHA|Xpw,Phonetic
Aa20,apr,Ideogram
Aa20A,,Determinative
Aa20B,,Determinative
Aa20C,,Determinative
Aa20D,apr,Ideogram
Aa21,sTS|wDa,Ideogram
Aa21A,sTs|wDa,Ideogram
Aa21B,wDa,Ideogram
Aa21C,wDa,Ideogram
Aa22,wDa,Ideogram
Aa23,mDd,Ideogram
Aa23A,,Determinative
Aa23B,,Determinative
Aa23C,Ssmw,Ideogram
Aa23D,,Determinative
Aa23E,,Determinative
Aa23F,,Determinative
Aa23G,,Determinative
Aa23I,,Determinative
Aa23J,,Determinative
Aa23K,,Determinative
Aa23L,Ssmw,Ideogram
Aa23M,,Determinative
Aa23N,,Determinative
Aa23O,,Determinative
Aa23P,,Determinative
Aa23Q,,Determinative
Aa23R,,Determinative
Aa23S,,Determinative
Aa23T,,Determinative
Aa23h,,Determinative
Aa24,mDd,Ideogram
Aa24A,,Determinative
Aa24B,,Determinative
Aa25,smA|smAty,Ideogram
Aa25A,,Determinative
Aa26,sbi,Ideogram
Aa27,nD,Phonetic
Aa27A,,Determinative
Aa27B,,Determinative
Aa27C,,Determinative
Aa27D,nD,Phonetic
Aa27E,,Determinative
Aa27F,,Determinative
Aa27G,,Determinative
Aa28,qd,Phonetic
Aa29,qd,Phonetic
Aa3,Hsb,Ideogram
Aa30,Xkr,Ideogram
Aa30h,,Determinative
Aa31,Xkr,Ideogram
Aa32,sti,Ideogram
Aa32A,,Determinative
Aa32h,,Determinative
Aa34,,Determinative
Aa34A,,Determinative
Aa35,,Determinative
Aa36,apr,Ideogram
Aa37,,Determinative
Aa38,,Determinative
Aa39,,Determinative
Aa3A,,Determinative
Aa3B,,Determinative
Aa3C,,Determinative
Aa4,ab|Hnt|iab|sxw|wsx,Phonetic
Aa40,,Determinative
Aa41,,Determinative
Aa42,,Determinative
Aa43,,Determinative
Aa44,,Determinative
Aa45,,Determinative
Aa46,,Determinative
Aa47,,Determinative
Aa48,,Determinative
Aa49,,Determinative
Aa49A,,Determinative
Aa4A,,Determinative
Aa5,Hp,Phonetic
Aa50,,Determinative
Aa50A,,Determinative
Aa51,,Determinative
Aa52,tm|tmAt,Phonetic
Aa53,tm|tmAt,Phonetic
Aa54,m|idt,Phonetic
Aa55,idt|wrt|msxnt,Ideogram
Aa56,m,Phonetic
Aa57,,Determinative
Aa58,,Determinative
Aa59,,Determinative
Aa5A,,Determinative
Aa5B,,Determinative
Aa5C,,Determinative
Aa5D,,Determinative
Aa6,tmA|TmA,Ideogram
Aa60,,Determinative
Aa61,,Determinative
Aa62,,Determinative
Aa63,,Determinative
Aa64,,Determinative
Aa65,,Determinative
Aa66,,Determinative
Aa67,,Determinative
Aa68,,Determinative
Aa69,,Determinative
Aa7,sqr,Ideogram
Aa70,,Determinative
Aa71,,Determinative
Aa72,,Determinative
Aa73,,Determinative
Aa74,,Determinative
Aa75,,Determinative
Aa76,,Determinative
Aa77,,Determinative
Aa78,,Determinative
Aa79,,Determinative
Aa7B,sqr,Ideogram
Aa8,DA|DAt|qn|spAt,Phonetic
Aa80,,Determinative
Aa81,,Determinative
Aa8A,,Determinative
Aa8B,,Determinative
Aa9,xwd,Ideogram
Ab,,Determinative
Abd,,Determinative
Aby,,Determinative
Ai,,Determinative
Ams,,Determinative
Ar,,Determinative
Atf,,Determinative
Aw,,Determinative
Ax,,Determinative
Axt,,Determinative
B1,st|i|T,Phonetic
B10,,Determinative
B100,,Determinative
B101,,Determinative
B102,,Determinative
B102A,,Determinative
B103,,Determinative
B104,,Determinative
B105,,Determinative
B106,,Determinative
B11,,Determinative
B12,wrD|bq|bAq,Phonetic
B13,,Determinative
B13A,,Determinative
B14,,Determinative
B15,,Determinative
B15A,,Determinative
B16,nyny,Ideogram
B17,,Determinative
B18,,Determinative
B18A,,Determinative
B19,,Determinative
B19A,,Determinative
B1A,,Determinative
B1B,,Determinative
B1C,,Determinative
B1D,,Determinative
B1E,,Determinative
B1F,,Determinative
B1G,,Determinative
B1I,,Determinative
B1J,,Determinative
B1K,,Determinative
B1L,,Determinative
B1h,,Determinative
B2,bkA|iwr,Ideogram
B20,,Determinative
B21,,Determinative
B21A,,Determinative
B21B,,Determinative
B21C,,Determinative
B21D,,Determinative
B21E,,Determinative
B22,,Determinative
B23,,Determinative
B23A,Spst,Ideogram
B23B,,Determinative
B23C,,Determinative
B23D,,Determinative
B23E,,Determinative
B23F,,Determinative
B24,,Determinative
B24A,,Determinative
B25,,Determinative
B26,,Determinative
B27,nyny,Ideogram
B28,,Determinative
B29,,Determinative
B2A,,Determinative
B3,ms|msi,Phonetic
B30,,Determinative
B31,,Determinative
B32,,Determinative
B33,smswt,Ideogram
B34,,Determinative
B35,HqAt,Ideogram
B36,,Determinative
B36A,,Determinative
B36B,,Determinative
B37,xbt,Ideogram
B38,,Determinative
B38A,,Determinative
B39,,Determinative
B39A,,Determinative
B3A,,Determinative
B3B,,Determinative
B3C,,Determinative
B4,ms|msi,Phonetic
B40,ityt,Ideogram
B41,,Determinative
B42,,Determinative
B42A,,Determinative
B43,,Determinative
B44,,Determinative
B45,nhm,Ideogram
B45A,nhm,Ideogram
B45B,,Determinative
B46,,Determinative
B47,,Determinative
B48,Hsy|Hsi,Ideogram
B48A,,Determinative
B49,wrt|srt,Ideogram
B49A,,Determinative
B5,mnat,Ideogram
B50,,Determinative
B51,,Determinative
B52,,Determinative
B53,,Determinative
B54,,Determinative
B55,,Determinative
B56,,Determinative
B56A,,Determinative
B56B,,Determinative
B57,,Determinative
B58,,Determinative
B59,,Determinative
B5A,,Determinative
B5B,,Determinative
B5C,,Determinative
B5D,,Determinative
B5E,,Determinative
B6,rnn,Ideogram
B60,,Determinative
B61,,Determinative
B62,,Determinative
B63,,Determinative
B64,,Determinative
B65,,Determinative
B65A,,Determinative
B66,,Determinative
B67,,Determinative
B68,,Determinative
B69,,Determinative
B6A,,Determinative
B6B,,Determinative
B6C,,Determinative
B7,,Determinative
B70,,Determinative
B71,,Determinative
B72,,Determinative
B73,,Determinative
B74,,Determinative
B75,,Determinative
B76,,Determinative
B77,,Determinative
B77A,,Determinative
B78,,Determinative
B79,,Determinative
B7A,Hnwt,Ideogram
B7B,,Determinative
B7C,,Determinative
B7D,,Determinative
B7E,Hnwt,Ideogram
B7F,,Determinative
B7G,,Determinative
B7I,,Determinative
B7J,,Determinative
B7h,,Determinative
B8,,Determinative
B80,,Determinative
B80A,ityt,Ideogram
B81,,Determinative
B82,,Determinative
B83,,Determinative
B84,,Determinative
B85,,Determinative
B86,,Determinative
B87,,Determinative
B88,,Determinative
B89,,Determinative
B8A,,Determinative
B8B,,Determinative
B8C,,Determinative
B8D,,Determinative
B8E,,Determinative
B8F,,Determinative
B8G,,Determinative
B8I,,Determinative
B8h,,Determinative
B9,,Determinative
B90,,Determinative
B91,,Determinative
B92,,Determinative
B93,,Determinative
B94,,Determinative
B95,,Determinative
B96,,Determinative
B97,,Determinative
B98,,Determinative
B99,,Determinative
BEGINEDITORADDITION,,Determinative
BEGINEDITORSUPERFLUOUS,,Determinative
BEGINERASE,,Determinative
BEGINMINORADDITION,,Determinative
BEGINPREVIOUSLYREADABLE,,Determinative
BEGINSCRIBEADDITION,,Determinative
C1,ra,Phonetic
C10,mAat,Ideogram
C100,wsir,Ideogram
C101,wsir,Ideogram
C101A,,Determinative
C102,ptH,Ideogram
C102A,,Determinative
C102B,,Determinative
C102C,,Determinative
C102D,,Determinative
C102E,,Determinative
C102F,,Determinative
C102G,,Determinative
C103,,Determinative
C104,,Determinative
C104A,Sw,Phonetic
C104B,,Determinative
C104C,,Determinative
C104D,,Determinative
C105,,Determinative
C105A,,Determinative
C105B,,Determinative
C105C,,Determinative
C105D,,Determinative
C105E,,Determinative
C106,,Determinative
C106A,,Determinative
C106B,,Determinative
C107,sbk,Ideogram
C107A,,Determinative
C108,spdw,Ideogram
C108A,,Determinative
C109,,Determinative
C109A,,Determinative
C10A,mAat,Ideogram
C10B,,Determinative
C10C,,Determinative
C10D,,Determinative
C10E,,Determinative
C10F,,Determinative
C10G,,Determinative
C11,HH,Phonetic
C110,,Determinative
C111,,Determinative
C111A,,Determinative
C111B,,Determinative
C111C,,Determinative
C112,Hpy,Ideogram
C113,,Determinative
C113A,,Determinative
C114,,Determinative
C114A,,Determinative
C115,,Determinative
C115A,,Determinative
C116,DHwty|aA|wr,Phonetic
C116A,DHwty|aA|wr,Phonetic
C116B,,Determinative
C117,,Determinative
C118,iaH,Ideogram
C118A,iaH,Ideogram
C119,gb,Phonetic
C119A,,Determinative
C119B,,Determinative
C11B,,Determinative
C11C,,Determinative
C11D,,Determinative
C11E,,Determinative
C11G,,Determinative
C11I,,Determinative
C11J,,Determinative
C11K,,Determinative
C11L,,Determinative
C11h,,Determinative
C12,imn|nb,Phonetic
C120,,Determinative
C121,ir,Phonetic
C122,sDm,Ideogram
C123,Hw,Phonetic
C124,siA,Ideogram
C125,,Determinative
C125A,sxm,Ideogram
C125B,,Determinative
C126,Axt,Ideogram
C126A,,Determinative
C127,HA,Phonetic
C128,,Determinative
C129,,Determinative
C12A,,Determinative
C12B,,Determinative
C12C,,Determinative
C12D,,Determinative
C12E,,Determinative
C12F,imn-Hr-xpS-f,Ideogram
C12G,,Determinative
C12I,,Determinative
C12J,,Determinative
C12K,,Determinative
C12L,,Determinative
C12M,,Determinative
C12h,,Determinative
C130,,Determinative
C131,,Determinative
C132,,Determinative
C132A,,Determinative
C133,kA,Phonetic
