code,transliterations,type
C134,,Determinative
C135,,Determinative
C136,nTr,Ideogram
C137,,Determinative
C138,,Determinative
C138A,,Determinative
C138B,,Determinative
C138C,,Determinative
C138D,,Determinative
C139,,Determinative
C14,Imn-Hr-xpS-f,Ideogram
C140,,Determinative
C140A,,Determinative
C141,,Determinative
C144,,Determinative
C145,,Determinative
C146,,Determinative
C147,,Determinative
C148,,Determinative
C148A,,Determinative
C149,,Determinative
C149A,,Determinative
C150,,Determinative
C151,,Determinative
C151A,,Determinative
C152,,Determinative
C153,,Determinative
C153A,,Determinative
C154,,Determinative
C155,,Determinative
C155A,,Determinative
C155B,,Determinative
C156,,Determinative
C157,,Determinative
C158,,Determinative
C159,ist|Ast,Ideogram
C159A,,Determinative
C159B,,Determinative
C159C,,Determinative
C159D,,Determinative
C159E,,Determinative
C159F,,Determinative
C159G,,Determinative
C159I,,Determinative
C159h,,Determinative
C16,,Determinative
C160,,Determinative
C161,,Determinative
C161A,,Determinative
C162,,Determinative
C163,xw,Phonetic
C163A,,Determinative
C164,bAstt,Ideogram
C164A,,Determinative
C164B,,Determinative
C164C,,Determinative
C164D,,Determinative
C164E,,Determinative
C164F,,Determinative
C165,mnHyt|mHyt,Ideogram
C165A,,Determinative
C165B,,Determinative
C165C,,Determinative
C165D,,Determinative
C166,,Determinative
C166A,,Determinative
C167,,Determinative
C168,,Determinative
C169,,Determinative
C17,mnTw,Ideogram
C170,Hryt-xndw,Ideogram
C171,St|StA,Phonetic
C171A,,Determinative
C172,,Determinative
C173,,Determinative
C174,,Determinative
C175,,Determinative
C175A,,Determinative
C176,,Determinative
C177,wsr-mAat-ra,Ideogram
C178,,Determinative
C178A,,Determinative
C179,rwt-dit-mAat,Ideogram
C17A,mnTw|Hr-smA-tAwy,Ideogram
C17B,mnTw|Hr-smA-tAwy,Ideogram
C17C,,Determinative
C17D,,Determinative
C18,TA-tnn,Ideogram
C180,mrt,Ideogram
C180A,mrt,Ideogram
C180B,,Determinative
C180C,,Determinative
C180D,,Determinative
C181,,Determinative
C182,mrt,Ideogram
C182A,,Determinative
C182B,,Determinative
C183,mwt,Ideogram
C183A,,Determinative
C183VARA,,Determinative
C184,,Determinative
C185,,Determinative
C185A,n|nt,Phonetic
C185B,,Determinative
C185C,,Determinative
C185D,,Determinative
C185E,,Determinative
C186,,Determinative
C187,,Determinative
C188,,Determinative
C188A,,Determinative
C188B,,Determinative
C188C,,Determinative
C189,,Determinative
C18A,tA-tnn|tA-Tnn|Tn,Phonetic
C18B,,Determinative
C18C,,Determinative
C18D,,Determinative
C18E,,Determinative
C18F,,Determinative
C19,ptH,Ideogram
C190,nbt-Hwt,Ideogram
C190A,,Determinative
C190B,,Determinative
C190C,,Determinative
C190D,,Determinative
C191,,Determinative
C192,,Determinative
C193,,Determinative
C193A,,Determinative
C194,,Determinative
C195,,Determinative
C195A,,Determinative
C195B,pt|nwt,Phonetic
C196,,Determinative
C196A,,Determinative
C197,,Determinative
C197A,,Determinative
C198,spdt,Ideogram
C199,,Determinative
C199A,pt|nnt|gbt,Phonetic
C19A,,Determinative
C19B,ptH,Ideogram
C19C,,Determinative
C1A,,Determinative
C1B,,Determinative
C1D,,Determinative
C2,ra,Phonetic
C20,ptH|ptH,Ideogram
C200,,Determinative
C201,,Determinative
C202,,Determinative
C203,,Determinative
C204,psD,Ideogram
C205,stt,Ideogram
C206,sSAt,Ideogram
C206A,,Determinative
C207,,Determinative
C208,,Determinative
C209,pD-Ssr,Ideogram
C20A,ptH,Ideogram
C20B,,Determinative
C21,bA-nxn|bAw-nxn,Ideogram
C210,,Determinative
C211,,Determinative
C212,,Determinative
C213,,Determinative
C214,,Determinative
C214A,,Determinative
C215,,Determinative
C216,,Determinative
C216A,,Determinative
C216B,,Determinative
C217,,Determinative
C218,,Determinative
C218A,,Determinative
C219,,Determinative
C21A,,Determinative
C22,sHr,Ideogram
C220,,Determinative
C221,,Determinative
C221A,,Determinative
C222,,Determinative
C222A,,Determinative
C222B,,Determinative
C223,,Determinative
C223A,,Determinative
C224,,Determinative
C225,,Determinative
C226,,Determinative
C227,,Determinative
C228,,Determinative
C229,,Determinative
C22A,,Determinative
C22B,,Determinative
C22C,,Determinative
C22D,,Determinative
C22E,,Determinative
C22F,,Determinative
C22G,,Determinative
C22I,,Determinative
C22h,,Determinative
C23,,Determinative
C230,,Determinative
C231,,Determinative
C232,,Determinative
C233,wn,Phonetic
C233A,,Determinative
C233B,,Determinative
C233C,,Determinative
C234,,Determinative
C235,,Determinative
C235A,,Determinative
C236,,Determinative
C237,,Determinative
C238,dwA,Ideogram
C239,,Determinative
C24,dwA-mwtf,Ideogram
C240,,Determinative
C241,,Determinative
C242,,Determinative
C243,,Determinative
C244,,Determinative
C245,,Determinative
C246,,Determinative
C247,sbk,Ideogram
C248,,Determinative
C249,,Determinative
C25,inpw|wsr,Ideogram
C250,SmAy,Ideogram
C251,,Determinative
C252,,Determinative
C253,,Determinative
C254,,Determinative
C255,,Determinative
C255A,,Determinative
C255B,,Determinative
C255C,,Determinative
C256,,Determinative
C257,,Determinative
C258,,Determinative
C258A,,Determinative
C259,,Determinative
C25A,,Determinative
C26,wpwty,Ideogram
C260,SntAyt,Ideogram
C261,,Determinative
C262,,Determinative
C262A,,Determinative
C263,,Determinative
C264,,Determinative
C265,,Determinative
C265A,,Determinative
C266,,Determinative
C267,,Determinative
C268,,Determinative
C268A,,Determinative
C268B,,Determinative
C268C,,Determinative
C268D,,Determinative
C268E,,Determinative
C268F,,Determinative
C268G,irt-ra,Ideogram
C268I,,Determinative
C268h,,Determinative
C269,,Determinative
C26A,,Determinative
C26B,,Determinative
C27,,Determinative
C270,,Determinative
C271,,Determinative
C272,,Determinative
C273,,Determinative
C274,,Determinative
C274A,,Determinative
C274B,,Determinative
C275,,Determinative
C275A,,Determinative
C276,,Determinative
C277,,Determinative
C278,,Determinative
C279,,Determinative
C27A,,Determinative
C27B,,Determinative
C27C,,Determinative
C27D,,Determinative
C28,,Determinative
C280,,Determinative
C281,,Determinative
C282,,Determinative
C283,,Determinative
C284,,Determinative
C285,,Determinative
C286,,Determinative
C287,,Determinative
C288,,Determinative
C288A,,Determinative
C288B,,Determinative
C289,sxmt,Ideogram
C29,,Determinative
C290,,Determinative
C291,,Determinative
C292,,Determinative
C293,nHH-Dt,Ideogram
C294,,Determinative
C295,,Determinative
C296,,Determinative
C297,,Determinative
C298,,Determinative
C299,,Determinative
C2A,,Determinative
C2B,,Determinative
C2C,,Determinative
C2D,,Determinative
C2E,,Determinative
C2F,,Determinative
C2G,,Determinative
C2I,nb-mAat-ra,Ideogram
C2h,,Determinative
C3,DHwty,Ideogram
C30,,Determinative
C300,,Determinative
C301,,Determinative
C302,,Determinative
C303,rst-Hwwts,Ideogram
C304,,Determinative
C305,,Determinative
C306,,Determinative
C307,,Determinative
C308,,Determinative
C309,,Determinative
C30A,,Determinative
C31,,Determinative
C310,,Determinative
C311,,Determinative
C32,nb|tm,Phonetic
C32A,,Determinative
C32B,,Determinative
C33,bs,Phonetic
C33A,,Determinative
C34,nm,Phonetic
C35,nHp,Ideogram
C35A,,Determinative
C36,,Determinative
C37,,Determinative
C38,,Determinative
C38B,,Determinative
C39,,Determinative
C39A,nTr,Ideogram
C39B,,Determinative
C39C,,Determinative
C39D,,Determinative
C39E,,Determinative
C39F,,Determinative
C39G,,Determinative
C39h,,Determinative
C3A,,Determinative
C3B,,Determinative
C3C,,Determinative
C3D,,Determinative
C4,Xnmw,Ideogram
C40,bA-pe|bAw-pe,Ideogram
C41,,Determinative
C42,,Determinative
C43,,Determinative
C43A,,Determinative
C43B,,Determinative
C43C,,Determinative
C43D,,Determinative
C43E,,Determinative
C43F,,Determinative
C43G,,Determinative
C44,,Determinative
C45,,Determinative
C45A,,Determinative
C46,skr,Ideogram
C46A,,Determinative
C46B,,Determinative
C46C,,Determinative
C47,,Determinative
C48,,Determinative
C49,,Determinative
C49A,xnsw,Ideogram
C49B,,Determinative
C4A,,Determinative
C4B,,Determinative
C4C,,Determinative
C4D,,Determinative
C4E,,Determinative
C4F,,Determinative
C4G,,Determinative
C4I,,Determinative
C4J,,Determinative
C4h,,Determinative
C5,Xnmw,Ideogram
C50,,Determinative
C50A,Axty,Ideogram
C50B,,Determinative
C51,,Determinative
C52,nTr,Ideogram
C52A,,Determinative
C52B,,Determinative
C52C,,Determinative
C52D,nTr-nTrt,Ideogram
C53,,Determinative
C53A,,Determinative
C53B,,Determinative
C53C,irt-ra,Ideogram
C54,Axty,Ideogram
C55,Hr-bHdty,Ideogram
C56,Hr-bHdty,Ideogram
C56A,,Determinative
C57,,Determinative
C58,,Determinative
C59,,Determinative
C59A,,Determinative
C59B,,Determinative
C59C,,Determinative
C6,inpw,Ideogram
C60,,Determinative
C61,,Determinative
C61A,,Determinative
C62,mAa-xrw,Ideogram
C63,,Determinative
C64,,Determinative
C64A,nHH,Ideogram
C65,,Determinative
C65A,,Determinative
C66,,Determinative
C67,,Determinative
C68,,Determinative
C69,,Determinative
C69A,,Determinative
C6A,,Determinative
C6B,wp-wAwt,Ideogram
C6C,,Determinative
C6D,,Determinative
C6E,,Determinative
C6F,,Determinative
C6G,,Determinative
C7,stX,Ideogram
C70,qbH-snwf,Ideogram
C71,wnty,Ideogram
C71A,,Determinative
C72,,Determinative
C73,,Determinative
C74,,Determinative
C75,,Determinative
C76,,Determinative
C76A,,Determinative
C77,gb|tA,Phonetic
C77A,,Determinative
C78,,Determinative
C78A,,Determinative
C78B,,Determinative
C78C,,Determinative
C78D,,Determinative
C78E,,Determinative
C78F,,Determinative
C78G,,Determinative
C79,,Determinative
C7A,,Determinative
C7B,,Determinative
C7C,,Determinative
C7D,,Determinative
C7E,,Determinative
C7F,,Determinative
C8,mnw,Ideogram
C80,,Determinative
C81,Hr-smA-tAwy,Ideogram
C82,,Determinative
C84,,Determinative
C87,,Determinative
C88,,Determinative
C89,nfrtm|nfr-tm,Ideogram
C8A,,Determinative
C9,Hwt-Hr,Ideogram
C90,,Determinative
C91,,Determinative
C91A,,Determinative
C91B,,Determinative
C92,Hapy,Ideogram
C92A,,Determinative
C92B,,Determinative
C93,,Determinative
C94,Hapy,Ideogram
C94A,,Determinative
C95,,Determinative
C95A,,Determinative
C96,,Determinative
C97,rs|sAH,Phonetic
C98,wsir|nsw|Dt,Phonetic
C98A,wsir,Ideogram
C98B,wsir,Ideogram
C98C,,Determinative
C98D,,Determinative
C98E,,Determinative
C98F,,Determinative
C99,wsir,Ideogram
C99A,wsir,Ideogram
C99B,wsir,Ideogram
C9A,,Determinative
C9B,,Determinative
C9C,,Determinative
C9D,,Determinative
C9E,,Determinative
C9F,,Determinative
C9G,,Determinative
C9I,,Determinative
C9J,,Determinative
C9K,,Determinative
C9L,,Determinative
C9h,,Determinative
D1,DADA|tp,Phonetic
D10,wDAt|wDA,Ideogram
D100,,Determinative
D101,,Determinative
D102,,Determinative
D103,,Determinative
D104,,Determinative
D105,,Determinative
D106,,Determinative
D107,,Determinative
D108,,Determinative
D109,,Determinative
D10A,,Determinative
D10B,,Determinative
D10C,,Determinative
D11,,Determinative
D110,,Determinative
D111,,Determinative
D112,,Determinative
D113,,Determinative
D114,,Determinative
D115,,Determinative
D116,,Determinative
D117,,Determinative
D118,,Determinative
D119,,Determinative
D12,DfD|ir|mA,Phonetic
D120,,Determinative
D121,,Determinative
D122,,Determinative
D123,,Determinative
D124,,Determinative
D125,,Determinative
D126,,Determinative
D127,,Determinative
D128,,Determinative
D129,,Determinative
D129A,,Determinative
D13,,Determinative
D130,,Determinative
D130A,,Determinative
D131,,Determinative
D132,H|Hnsqty|Sri,Phonetic
D133,,Determinative
D134,,Determinative
D135,,Determinative
D136,,Determinative
D137,,Determinative
D138,an|ptr|rs|HsA|sDm,Phonetic
D139,,Determinative
D14,,Determinative
D140,,Determinative
D141,,Determinative
D141A,,Determinative
D142,,Determinative
D143,,Determinative
D143A,,Determinative
D143B,,Determinative
D144,irt-ra,Ideogram
D144A,,Determinative
D144B,,Determinative
D145,,Determinative
D146,,Determinative
D147,,Determinative
D148,,Determinative
D149,,Determinative
D15,,Determinative
D150,,Determinative
D150A,,Determinative
D151,nbt|rwy,Ideogram
D151A,,Determinative
D151B,,Determinative
D152,,Determinative
D153,r|rA,Phonetic
D154,,Determinative
D154A,,Determinative
D155,,Determinative
D156,xAbAs|xbswt,Ideogram
D157,,Determinative
D158,,Determinative
D159,,Determinative
D16,,Determinative
D160,,Determinative
D161,,Determinative
D161A,,Determinative
D162,,Determinative
D163,,Determinative
D164,,Determinative
D165,,Determinative
D166,,Determinative
D167,,Determinative
D168,,Determinative
D169,,Determinative
D17,tit|dnit,Ideogram
D170,,Determinative
D170A,,Determinative
D171,,Determinative
D172,,Determinative
D173,,Determinative
D174,,Determinative
D175,mk,Phonetic
D176,,Determinative
D176A,,Determinative
D177,kA,Phonetic
D177A,,Determinative
D178,,Determinative
D178A,,Determinative
D178B,,Determinative
D178C,,Determinative
D178D,,Determinative
D179,,Determinative
D18,msDr|anx,Ideogram
D180,,Determinative
D181,,Determinative
D181A,,Determinative
D181B,,Determinative
D182,,Determinative
D182A,,Determinative
D183,,Determinative
D184,,Determinative
D185,,Determinative
D186,,Determinative
D187,,Determinative
D188,Hsk,Ideogram
D189,,Determinative
D19,fnd|fnD|xnt|sty|xn|rS|sn,Phonetic
D190,,Determinative
D191,,Determinative
D192,,Determinative
D193,,Determinative
D194,,Determinative
D195,,Determinative
D196,,Determinative
D197,sxn,Ideogram
D198,,Determinative
D199,sxn,Ideogram
D1A,,Determinative
D2,Hr,Phonetic
D20,fnd|fnD|xnt|rS,Phonetic
D200,,Determinative
D201,,Determinative
D202,,Determinative
D203,,Determinative
D204,,Determinative
D205,,Determinative
D206,,Determinative
D207,,Determinative
D208,,Determinative
D209,,Determinative
D21,r|rA,Phonetic
D210,,Determinative
D211,mwt,Ideogram
D212,,Determinative
D212A,,Determinative
D213,,Determinative
D214,,Determinative
D215,,Determinative
D216,,Determinative
D217,mk,Phonetic
D218,Ssp,Ideogram
D218A,Ssp,Ideogram
D219,Xrt-hrw,Ideogram
D21A,,Determinative
D22,rAwi|nbt,Ideogram
D220,,Determinative
D221,,Determinative
D222,,Determinative
D223,,Determinative
D224,,Determinative
D225,,Determinative
D226,,Determinative
D227,,Determinative
D228,arf,Ideogram
D229,,Determinative
D229A,,Determinative
D22A,,Determinative
D22B,,Determinative
D23,xmt-rAw|rA-xmt|xmt-rAw,Ideogram
D230,,Determinative
D231,,Determinative
D232,,Determinative
D233,,Determinative
D234,,Determinative
D235,,Determinative
D236,,Determinative
D236A,ia|iai,Phonetic
D237,,Determinative
D238,,Determinative
D239,,Determinative
D23A,,Determinative
D23B,,Determinative
D24,spt,Ideogram
D240,,Determinative
D241,,Determinative
D242,,Determinative
D243,,Determinative
D244,,Determinative
D245,spXr,Ideogram
D246,spXr,Ideogram
D247,,Determinative
D248,,Determinative
D249,,Determinative
D25,spty,Ideogram
D250,,Determinative
D251,,Determinative
D252,,Determinative
D253,,Determinative
D254,,Determinative
D255,,Determinative
D256,,Determinative
D257,,Determinative
D258,,Determinative
D259,,Determinative
D26,bSi|psg|snf|bS,Phonetic
D260,,Determinative
D261,,Determinative
D262,,Determinative
D263,,Determinative
D264,,Determinative
D265,sd,Phonetic
D266,,Determinative
D267,Hnt,Ideogram
D268,,Determinative
D269,,Determinative
D26A,,Determinative
D26B,,Determinative
D26VARA,pw,Phonetic
D27,mnai|mnD|snq|mna,Ideogram
D270,Drt-nTr,Ideogram
D271,,Determinative
D272,HmAg,Ideogram
D273,HmAg,Ideogram
D274,HmAg,Ideogram
D275,,Determinative
D275A,,Determinative
D276,,Determinative
D277,,Determinative
D278,,Determinative
D279,,Determinative
D27A,mnai|mnD|snq,Ideogram
D28,kA,Phonetic
D280,nk|rx,Phonetic
D280A,Hm,Phonetic
D281,,Determinative
D282,,Determinative
D283,is|xrwy,Phonetic
D284,,Determinative
D285,,Determinative
D286,,Determinative
D287,,Determinative
D288,pXr,Ideogram
D289,,Determinative
D28A,,Determinative
D29,kA,Phonetic
D290,,Determinative
D291,,Determinative
D292,,Determinative
D293,,Determinative
D294,,Determinative
D295,,Determinative
D296,,Determinative
D297,,Determinative
D298,,Determinative
D299,,Determinative
D2A,,Determinative
D3,Sni|Sny|wS|Sn,Phonetic
D30,nHb-kAw,Ideogram
D300,,Determinative
D301,,Determinative
D302,,Determinative
D303,,Determinative
D304,,Determinative
D305,,Determinative
D306,,Determinative
D307,,Determinative
D308,,Determinative
D31,Hm-kA,Ideogram
D310,,Determinative
D311,,Determinative
D312,,Determinative
D313,,Determinative
D314,,Determinative
D315,,Determinative
D316,,Determinative
D317,,Determinative
D318,,Determinative
D319,,Determinative
D31A,,Determinative
D32,Hpt|pgA|n|nn|sxn,Phonetic
D320,,Determinative
D321,,Determinative
D322,,Determinative
D322A,,Determinative
D322B,,Determinative
D323,,Determinative
D323A,,Determinative
D324,,Determinative
D325,,Determinative
D325A,,Determinative
D326,,Determinative
D326A,,Determinative
D326B,,Determinative
D327,,Determinative
D328,,Determinative
D329,,Determinative
D32A,n|nn,Phonetic
D32B,,Determinative
D32C,,Determinative
D32D,n|nn,Phonetic
D33,Xn|Xni,Phonetic
D330,DbA,Ideogram
D331,,Determinative
D332,,Determinative
D333,,Determinative
D334,,Determinative
D334A,,Determinative
D335,,Determinative
D336,,Determinative
D336A,,Determinative
D337,,Determinative
D338,,Determinative
D339,,Determinative
D33A,,Determinative
D33B,,Determinative
D33C,,Determinative
D34,aHA,Ideogram
D340,,Determinative
D341,,Determinative
D342,,Determinative
D343,,Determinative
D344,,Determinative
D345,,Determinative
D346,,Determinative
D347,,Determinative
D348,,Determinative
D349,,Determinative
D34A,aHA,Ideogram
D34B,aHA,Ideogram
D34C,aHA,Ideogram
D35,n|smx|xm,Phonetic
D350,,Determinative
D351,,Determinative
D352,,Determinative
D353,,Determinative
D354,,Determinative
D355,,Determinative
D356,rs,Phonetic
D356A,,Determinative
D356B,,Determinative
D357,,Determinative
D358,,Determinative
D359,,Determinative
D35A,,Determinative
D36,a|mH|di,Phonetic
D360,,Determinative
D361,,Determinative
D362,,Determinative
D363,,Determinative
D364,,Determinative
D365,,Determinative
D366,,Determinative
D367,,Determinative
D368,,Determinative
D369,,Determinative
D37,d|D|di|imi|m|mi|rdi,Phonetic
D370,,Determinative
D371,,Determinative
D372,,Determinative
D373,,Determinative
D373A,,Determinative
D374,,Determinative
D375,,Determinative
D376,,Determinative
D377,,Determinative
D378,,Determinative
D379,,Determinative
D38,m|mi,Phonetic
D380,,Determinative
D381,HkA,Ideogram
D382,,Determinative
D383,,Determinative
D384,,Determinative
D385,,Determinative
D386,,Determinative
D387,,Determinative
D388,,Determinative
D389,,Determinative
D39,Hnk|m|mwt,Phonetic
D390,,Determinative
D391,,Determinative
D392,Hr|Hry,Phonetic
D393,,Determinative
D394,,Determinative
D395,,Determinative
D396,ir-is,Ideogram
D397,,Determinative
D398,,Determinative
D399,,Determinative
D3A,Sny|Sn|Sni|wS,Phonetic
D3B,Sny|Sn|Sni|wS,Phonetic
D4,ir|irt|mA,Phonetic
D40,nxt|xAi,Ideogram
D400,,Determinative
D401,,Determinative
D402,,Determinative
D403,,Determinative
D404,,Determinative
D405,Hm-kA,Ideogram
D406,,Determinative
D407,,Determinative
D408,,Determinative
D409,,Determinative
D41,gbA|ni|rmn,Phonetic
D410,,Determinative
D410A,,Determinative
D411,,Determinative
D412,,Determinative
D413,,Determinative
D414,,Determinative
D415,,Determinative
D416,,Determinative
D42,mH,Phonetic
D43,xw|xwi,Phonetic
D44,xrp,Ideogram
D45,Dsr,Ideogram
D46,d|Drt,Phonetic
D46A,idt,Ideogram
D46B,,Determinative
D46C,iAdt|iai|idt|ia,Phonetic
D46D,Hnt|Ssp|sSp|Sp|siA,Phonetic
D47,Drt|Hnt|Ssp|sSp|Sp,Phonetic
D47A,iAdt|iai|ia|idt,Phonetic
D48,Ssp,Ideogram
D48A,Hn,Phonetic
D49,Amm|Am|xfa|HmAg,Phonetic
D5,dgi|pti|ptr|Sp,Phonetic
D50,Dba,Ideogram
D500,Hrf_m_sDt,Ideogram
D50A,,Determinative
D51,ant|dqr,Ideogram
D52,mt|bAH,Phonetic
D52A,,Determinative
D53,bAH|mt,Phonetic
D53A,,Determinative
D54,iw|nmtt,Phonetic
D54A,iw,Phonetic
D55,ann|an,Phonetic
D56,gH|gHs|rd|sbq|ATw,Phonetic
D57,iAt|iAT|siAT|th|thi,Phonetic
D57A,,Determinative
D57B,,Determinative
D57C,,Determinative
D57D,,Determinative
D58,b|bw,Phonetic
D59,ab,Phonetic
D6,dgi|pti|ptr|Sp,Phonetic
D60,wab,Ideogram
D61,sAH,Ideogram
D61A,,Determinative
D62,sAH,Ideogram
D63,sAH,Ideogram
D63A,sAH,Ideogram
D63B,sAH,Ideogram
D63C,sAH,Ideogram
D63D,sAH,Ideogram
D63E,sAH,Ideogram
D63F,sAH,Ideogram
D63G,sAH,Ideogram
D65,psg,Ideogram
D66,spXr,Ideogram
D67,,Determinative
D68,,Determinative
D69,,Determinative
D6A,,Determinative
D7,an|ptr,Phonetic
D70,,Determinative
D71,,Determinative
D72,,Determinative
D73,,Determinative
D74,,Determinative
D75,,Determinative
D76,,Determinative
D77,,Determinative
D78,,Determinative
D79,,Determinative
D7A,,Determinative
D7B,,Determinative
D7C,,Determinative
D7D,,Determinative
D8,an|anw,Phonetic
D80,,Determinative
D81,,Determinative
D82,,Determinative
D83,,Determinative
D84,,Determinative
D85,,Determinative
D86,,Determinative
D87,,Determinative
D88,,Determinative
D89,,Determinative
D8A,,Determinative
D8B,,Determinative
D8C,,Determinative
D8D,,Determinative
D9,rmi|rm|iwH,Phonetic
D90,,Determinative
D91,,Determinative
D92,,Determinative
D93,,Determinative
D94,,Determinative
D95,,Determinative
D96,,Determinative
D97,,Determinative
D98,,Determinative
D99,,Determinative
D9A,,Determinative
DA,,Determinative
DD,,Determinative
DHwty,,Determinative
Dam,,Determinative
Db,,Determinative
DbA,,Determinative
Dba,,Determinative
Dd,,Determinative
Dr,,Determinative
DrD,,Determinative
Dsr,,Determinative
Dw,,Determinative
E1,iH|kA,Phonetic
E10,bA|Xnmw,Phonetic
E100,wnb|nb,Phonetic
E100A,,Determinative
E100B,,Determinative
E100C,,Determinative
E101,,Determinative
E101A,,Determinative
E102,,Determinative
E102A,,Determinative
E102B,,Determinative
E102C,,Determinative
E103,,Determinative
E103A,,Determinative
E104,Ssr,Ideogram
E105,,Determinative
E106,,Determinative
E107,,Determinative
E108,,Determinative
E108A,TnTAt,Ideogram
E109,Sms,Ideogram
E11,bA|Xnmw,Phonetic
E110,mAi-anx,Ideogram
E110A,mAi-anx,Ideogram
E111,mds,Ideogram
E112,Am|HsA-Sna,Phonetic
E112A,pXr,Ideogram
E113,pXr,Ideogram
E114,,Determinative
E116,,Determinative
E117,tf,Phonetic
E118,,Determinative
E119,,Determinative
E11A,,Determinative
E11B,bA,Phonetic
E12,rri,Ideogram
E120,ra|rdi|Sna,Phonetic
E120A,sA-ra,Ideogram
E121,Dsr,Ideogram
E121A,,Determinative
E122,rS|Sr,Phonetic
E123,,Determinative
E124,,Determinative
E124A,,Determinative
E125,,Determinative
E126,,Determinative
E127,,Determinative
E128,xns,Ideogram
E129,xnsw,Ideogram
E13,miw|mi,Phonetic
E130,,Determinative
E131,,Determinative
E132,,Determinative
E132A,,Determinative
E133,,Determinative
E133A,,Determinative
E133B,,Determinative
E133C,,Determinative
E133D,,Determinative
E134,wrt,Ideogram
E134A,ipt|wrt,Ideogram
E135,,Determinative
E136,,Determinative
E137,,Determinative
E137A,,Determinative
E138,,Determinative
E139,imnt,Ideogram
E139A,,Determinative
E13A,,Determinative
E14,iw|Tsm|sr,Phonetic
E140,iAbt,Ideogram
E141,sTA,Ideogram
E141A,sTA,Ideogram
E142,,Determinative
E143,inpwt,Ideogram
E143A,inpwt,Ideogram
E143B,inpwt,Ideogram
E144,,Determinative
E145,bqnqn,Ideogram
E145A,,Determinative
E145B,,Determinative
E146,,Determinative
E147,,Determinative
E147A,,Determinative
E148,,Determinative
E148A,,Determinative
E148B,,Determinative
E148C,,Determinative
E148D,,Determinative
E148E,,Determinative
E148F,,Determinative
E148G,,Determinative
E148I,,Determinative
E148J,,Determinative
E148K,,Determinative
E148L,,Determinative
E148M,,Determinative
E148N,,Determinative
E148h,,Determinative
E149,,Determinative
E149A,,Determinative
E14A,,Determinative
E14B,,Determinative
E14C,,Determinative
E15,Hry-sStA|inpw,Ideogram
E150,,Determinative
E150A,,Determinative
E150B,,Determinative
E150C,,Determinative
E150D,,Determinative
E150E,,Determinative
E151,Ssp|imy-rA,Ideogram
E151A,,Determinative
E151B,,Determinative
E152,,Determinative
E153,,Determinative
E154,nb-tAwy,Ideogram
E154A,,Determinative
E155,,Determinative
E156,,Determinative
E157,Ssp-anx,Ideogram
E157A,,Determinative
E158,nb-wa,Ideogram
E159,Sms-antyw,Ideogram
E159A,,Determinative
E159B,,Determinative
E15A,,Determinative
E15B,,Determinative
E15C,,Determinative
E16,Hry-sStA|inpw,Ideogram
E160,,Determinative
E161,,Determinative
E162,,Determinative
E163,,Determinative
E164,Hp,Phonetic
E164A,,Determinative
E165,Twn,Ideogram
E166,,Determinative
E167,,Determinative
E168,,Determinative
E169,,Determinative
E16A,,Determinative
E16AEXTU,,Determinative
E16B,,Determinative
E17,sAb|zAb,Ideogram
E170,Hp,Phonetic
E171,,Determinative
E172,,Determinative
E173,,Determinative
E174,smA,Ideogram
E174A,smA,Ideogram
E174B,,Determinative
E174C,,Determinative
E174D,,Determinative
E174E,,Determinative
E174F,,Determinative
E175,,Determinative
E176,smA,Ideogram
E177,xns,Ideogram
E177A,xns,Ideogram
E178,,Determinative
E179,,Determinative
E17A,,Determinative
E18,wp-wAwt,Ideogram
E180,,Determinative
E180A,,Determinative
E181,bHdty,Ideogram
E182,,Determinative
E183,,Determinative
E184,,Determinative
E185,,Determinative
E186,awt|ar,Phonetic
E187,,Determinative
E188,,Determinative
E189,,Determinative
E19,wp-wAwt,Ideogram
E190,,Determinative
E191,,Determinative
E191A,,Determinative
E192,,Determinative
E193,,Determinative
E194,,Determinative
E195,sAb-Swt,Ideogram
E196,in,Phonetic
E197,xft-Hr,Ideogram
E198,mA-HD,Ideogram
E199,km-wr,Ideogram
E199A,,Determinative
E1A,,Determinative
E1B,,Determinative
E1C,,Determinative
E1D,,Determinative
E2,kA|smA,Phonetic
E20,stX|Xnnw|AS,Phonetic
E200,mAi,Ideogram
E200A,mAi,Ideogram
E201,,Determinative
E201A,Hsb,Ideogram
E202,,Determinative
E202A,,Determinative
E202B,,Determinative
E202C,,Determinative
E203,,Determinative
E204,,Determinative
E205,mHt|Hbnw,Ideogram
E205A,,Determinative
E206,,Determinative
E206A,,Determinative
E207,xAsww,Ideogram
E207A,,Determinative
E208,,Determinative
E209,,Determinative
E20A,,Determinative
E21,nSni|stX,Ideogram
E210,,Determinative
E211,,Determinative
E211A,Tb-nTr,Ideogram
E212,,Determinative
E213,,Determinative
E214,,Determinative
E214A,,Determinative
E214B,,Determinative
E214C,,Determinative
E215,,Determinative
E215A,,Determinative
E215B,,Determinative
E215C,,Determinative
E215D,,Determinative
E215E,,Determinative
E216,nhs,Ideogram
E216A,,Determinative
E216B,,Determinative
E216C,,Determinative
E216D,,Determinative
E216E,,Determinative
E216F,,Determinative
E216G,,Determinative
E216I,,Determinative
E216J,,Determinative
E216K,,Determinative
E216L,,Determinative
E216h,,Determinative
E217,,Determinative
E217A,,Determinative
E218,,Determinative
E218A,,Determinative
E218B,,Determinative
E218C,,Determinative
E219,,Determinative
E21A,,Determinative
E21B,,Determinative
